SPECIES_CODE,COMMON_NAME_ZH_CN,COMMON_NAME_US
x01244,Red-billed x Yellow-billed Oxpecker (hybrid),Red-billed x Yellow-billed Oxpecker (hybrid)
y00825,Red-billed/Yellow-billed Oxpecker,Red-billed/Yellow-billed Oxpecker
stsrha2,Stripe-headed Rhabdornis,Stripe-sided Rhabdornis
lobrha1,Grand Rhabdornis,Long-billed Rhabdornis
stbrha1,Stripe-breasted Rhabdornis,Stripe-breasted Rhabdornis
visrha1,Visayan Rhabdornis,Visayan Rhabdornis
fibmyn1,Fiery-browed Starling,Fiery-browed Myna
fibmyn2,Grosbeak Starling,Finch-billed Myna
metsta1,Metallic/Violet-hooded Starling,Metallic Starling
metsta3,Violet-hooded Starling,Metallic Starling (Violet-hooded)
metsta2,Metallic Starling,Metallic Starling (Metallic)
yeesta1,Yellow-eyed Starling,Yellow-eyed Starling
tansta1,Tanimbar Starling,Tanimbar Starling
atosta1,Atoll Starling,Atoll Starling
rensta1,Rennell Starling,Rennell Starling
lotsta1,Long-tailed Starling,Long-tailed Starling
whesta2,White-eyed Starling,White-eyed Starling
brwsta1,Brown-winged Starling,Brown-winged Starling
sacsta1,Makira Starling,Makira Starling
ruwsta1,Rusty-winged Starling,Rusty-winged Starling
strsta1,Striated Starling,Striated Starling
pohsta1,Pohnpei Starling,Pohnpei Starling
sinsta1,Singing Starling,Singing Starling
mousta1,Mountain Starling,Mountain Starling
asgsta1,亚洲辉椋鸟,Asian Glossy Starling
molsta1,Moluccan Starling,Moluccan Starling
shtsta1,Short-tailed Starling,Short-tailed Starling
micsta1,Micronesian Starling,Micronesian Starling
polsta1,Polynesian Starling,Polynesian Starling
polsta2,Polynesian Starling (Polynesian),Polynesian Starling (Polynesian)
polsta3,Polynesian Starling (Manua),Polynesian Starling (Manua)
samsta1,Samoan Starling,Samoan Starling
kossta1,Kosrae Starling,Kosrae Starling
rarsta1,Rarotonga Starling,Rarotonga Starling
myssta1,Mauke Starling,Mysterious Starling
norsta1,Tasman Starling,Tasman Starling
raista2,Raiatea Starling,Raiatea Starling
aploni1,Aplonis sp.,Aplonis sp.
sulmyn1,Sulawesi Myna,Sulawesi Myna
helmyn1,Helmeted Myna,Helmeted Myna
locmyn1,Long-crested Myna,Long-crested Myna
apomyn2,Apo Myna,Apo Myna
coleto1,Coleto,Coleto
whnmyn1,White-necked Myna,White-necked Myna
whnmyn2,White-necked Myna (Northern),White-necked Myna (Northern)
whnmyn3,White-necked Myna (Southern),White-necked Myna (Southern)
baemyn1,Bare-eyed Myna,Bare-eyed Myna
yefmyn1,Yellow-faced Myna,Yellow-faced Myna
golmyn1,Golden Myna,Golden Myna
lotmyn1,Long-tailed Myna,Long-tailed Myna
gocmyn1,金冠树八哥,Golden-crested Myna
ceymyn1,Sri Lanka Hill Myna,Sri Lanka Myna
hilmyn,鹩哥,Common Hill Myna
cohmyn1,鹩哥 (广布),Common Hill Myna (Common)
cohmyn9,鹩哥 (miotera),Common Hill Myna (Simeulue)
niamyn1,鹩哥 (robusta),Common Hill Myna (Nias)
engmyn1,鹩哥 (enganensis),Common Hill Myna (Enggano)
cohmyn2,Tenggara Hill Myna,Tenggara Hill Myna
sohmyn1,Southern Hill Myna,Southern Hill Myna
eursta,紫翅椋鸟,European Starling
sposta1,Spotless Starling,Spotless Starling
y00626,Common/Spotless Starling,European/Spotless Starling
watsta1,Wattled Starling,Wattled Starling
rossta2,粉红椋鸟,Rosy Starling
dausta1,北椋鸟,Daurian Starling
chcsta1,紫背椋鸟,Chestnut-cheeked Starling
y00756,北椋鸟/紫背椋鸟,Daurian/Chestnut-cheeked Starling
bkcsta1,黑领椋鸟,Black-collared Starling
aspsta2,斑椋鸟,Indian Pied Starling
aspsta7,暹罗斑椋鸟,Siamese Pied Starling
aspsta3,Javan Pied Myna,Javan Pied Starling
piesta1,未识别的斑椋鸟类,pied starling sp.
whfsta2,White-faced Starling,White-faced Starling
balmyn1,Bali Myna,Bali Myna
rodsta2,Rodrigues Starling,Rodrigues Starling
reusta1,Hoopoe Starling,Reunion Starling
whssta2,灰背椋鸟,White-shouldered Starling
brasta1,黑冠椋鸟,Brahminy Starling
chtsta2,灰头椋鸟,Chestnut-tailed Starling
chtsta1,灰头椋鸟 (栗腹),Chestnut-tailed Starling (Western)
chtsta3,灰头椋鸟 (灰腹),Chestnut-tailed Starling (Eastern)
x01027,斑椋鸟×灰头椋鸟 (杂交),Indian Pied x Chestnut-tailed Starling (hybrid)
malsta1,马拉巴椋鸟,Malabar Starling
y00824,灰头椋鸟/马拉巴椋鸟,Chestnut-tailed/Malabar Starling
whhsta2,White-headed Starling,White-headed Starling
rebsta1,丝光椋鸟,Red-billed Starling
whcsta1,灰椋鸟,White-cheeked Starling
commyn,家八哥,Common Myna
banmyn1,灰背岸八哥,Bank Myna
vibsta1,红嘴椋鸟,Burmese Myna
vibsta4,红胸椋鸟,Vinous-breasted Myna
vibsta3,红嘴椋鸟/红胸椋鸟,Burmese/Vinous-breasted Myna
bkwsta1,Black-winged Myna,Black-winged Myna
bkwsta2,Black-winged Myna (Black-winged),Black-winged Myna (Black-winged)
bkwsta3,Black-winged Myna (Grey-backed),Black-winged Myna (Gray-backed)
bkwsta4,Black-winged Myna (Grey-rumped),Black-winged Myna (Gray-rumped)
junmyn1,丛林八哥,Jungle Myna
junmyn3,丛林八哥 (蓝眼),Jungle Myna (Blue-eyed)
junmyn6,丛林八哥 (黄眼),Jungle Myna (Yellow-eyed)
x01056,红嘴椋鸟x丛林八哥 (杂交),Burmese x Jungle Myna (hybrid)
y00823,家八哥/丛林八哥,Common/Jungle Myna
whvmyn,爪哇八哥 (白尾八哥),Javan Myna
x01028,丛林八哥x爪哇八哥 (杂交),Jungle x Javan Myna (hybrid)
pabmyn1,Pale-bellied Myna,Pale-bellied Myna
colmyn1,白领八哥,Collared Myna
whvmyn1,林八哥,Great Myna
x00468,黑领椋鸟x林八哥 (杂交),Black-collared Starling x Great Myna (hybrid)
x01136,暹罗斑椋鸟x林八哥 (杂交),Siamese Pied Starling x Great Myna (hybrid)
x00469,家八哥x林八哥 (杂交),Common x Great Myna (hybrid)
x01160,红胸椋鸟x林八哥 (杂交),Vinous-breasted x Great Myna (hybrid)
x01029,丛林八哥×林八哥 (杂交),Jungle x Great Myna (hybrid)
x00893,爪哇八哥×林八哥 (杂交),Javan x Great Myna (hybrid)
cremyn,八哥,Crested Myna
x01083,灰椋鸟x八哥 (杂交),White-cheeked Starling x Crested Myna (hybrid)
x01030,家八哥x八哥 (杂交),Common x Crested Myna (hybrid)
x01031,白领八哥x八哥 (杂交),Collared x Crested Myna (hybrid)
y01011,丛林八哥/八哥,Jungle/Crested Myna
blkmyn1,未识别的黑色八哥类,black myna sp.
acrido1,未识别的八哥类,Acridotheres sp.
madsta1,Madagascar Starling,Madagascar Starling
vibsta2,Violet-backed Starling,Violet-backed Starling
slbsta1,Slender-billed Starling,Slender-billed Starling
pawsta1,Pale-winged Starling,Pale-winged Starling
neusta1,Neumann's Starling,Neumann's Starling
rewsta1,Red-winged Starling,Red-winged Starling
chwsta1,Chestnut-winged Starling,Chestnut-winged Starling
chwsta2,Chestnut-winged Starling (Chestnut-winged),Chestnut-winged Starling (Chestnut-winged)
chwsta3,Chestnut-winged Starling (Hartlaub's),Chestnut-winged Starling (Hartlaub's)
walsta1,Waller's Starling,Waller's Starling
walsta3,Waller's Starling (Preuss's),Waller's Starling (Preuss's)
walsta4,Waller's Starling (Albertine),Waller's Starling (Albertine)
walsta5,Waller's Starling (Waller's),Waller's Starling (Waller's)
trista1,Tristram's Starling,Tristram's Starling
whbsta1,White-billed Starling,White-billed Starling
brcsta1,Bristle-crowned Starling,Bristle-crowned Starling
