SPECIES_CODE,COMMON_NAME_ZH_CN,COMMON_NAME_US
bkbalb1,Black-browed Albatross,Black-browed Albatross (Black-browed)
bkbalb2,Campbell Albatross,Black-browed Albatross (Campbell)
x01063,Grey-headed x Black-browed Albatross (hybrid),Gray-headed x Black-browed Albatross (hybrid)
smaalb1,small albatross sp.,small albatross sp.
albatr1,未识别的信天翁,albatross sp.
wispet,黄蹼洋海燕,Wilson's Storm-Petrel
wilstp2,黄蹼洋海燕 (黑翅),Wilson's Storm-Petrel (Wilson's)
wilstp1,黄蹼洋海燕 (chilensis),Wilson's Storm-Petrel (Fuegian)
pumstp1,Pincoya Storm Petrel,Pincoya Storm-Petrel
andstp1,Andean Storm Petrel (unrecognized species),Andean Storm-Petrel (unrecognized species)
wvspet1,Elliot's Storm Petrel,Elliot's Storm-Petrel
ellstp1,Elliot's Storm Petrel (Galapagos),Elliot's Storm-Petrel (Galapagos)
ellstp2,Elliot's Storm Petrel (Humboldt),Elliot's Storm-Petrel (Humboldt)
oceani1,Oceanites sp.,Oceanites sp.
gybstp1,Grey-backed Storm Petrel,Gray-backed Storm-Petrel
wfspet,White-faced Storm Petrel,White-faced Storm-Petrel
wbspet1,White-bellied Storm Petrel,White-bellied Storm-Petrel
whbstp1,White-bellied Storm Petrel (White-bellied),White-bellied Storm-Petrel (White-bellied)
whbstp2,White-bellied Storm Petrel (Rapa Island),White-bellied Storm-Petrel (Rapa I.)
nezstp1,New Zealand Storm Petrel,New Zealand Storm-Petrel
necstp1,New Caledonian Storm Petrel,New Caledonian Storm-Petrel
bbspet1,Black-bellied Storm Petrel,Black-bellied Storm-Petrel
bkbstp1,Black-bellied Storm Petrel (Subantarctic),Black-bellied Storm-Petrel (Subantarctic)
bkbstp2,Black-bellied Storm Petrel (Gough),Black-bellied Storm-Petrel (Gough)
y00388,White-bellied/Black-bellied Storm Petrel,White-bellied/Black-bellied Storm-Petrel
pospet1,Polynesian Storm Petrel,Polynesian Storm-Petrel
bripet,European Storm Petrel,European Storm-Petrel
eurstp1,European Storm Petrel (British),European Storm-Petrel (British)
eurstp2,European Storm Petrel (Mediterranean),European Storm-Petrel (Mediterranean)
ftspet,Fork-tailed Storm Petrel,Fork-tailed Storm-Petrel
rispet1,Ringed Storm Petrel,Ringed Storm-Petrel
lcspet,白腰叉尾海燕,Leach's Storm-Petrel
leastp3,白腰叉尾海燕 (北太平洋及大西洋),Leach's Storm-Petrel (Leach's)
leastp4,白腰叉尾海燕 (chapmani),Leach's Storm-Petrel (Chapman's)
leastp5,Townsend's Storm Petrel,Townsend's Storm-Petrel
y00937,Leach's/Townsend's Storm Petrel,Leach's/Townsend's Storm-Petrel
leastp1,Leach's/Townsend's Storm Petrel (dark-rumped),Leach's/Townsend's Storm-Petrel (dark-rumped)
y00938,Leach's/Townsend's Storm Petrel (white-rumped),Leach's/Townsend's Storm-Petrel (white-rumped)
leastp2,Ainley's Storm Petrel,Ainley's Storm-Petrel
y00939,Leach's/Townsend's/Ainley's Storm Petrel,Leach's/Townsend's/Ainley's Storm-Petrel
swspet,黑叉尾海燕,Swinhoe's Storm-Petrel
asspet,Ashy Storm Petrel,Ashy Storm-Petrel
barpet,Band-rumped Storm Petrel,Band-rumped Storm-Petrel
barstp4,Band-rumped Storm Petrel (Madeiran),Band-rumped Storm-Petrel (Madeiran)
barstp3,Band-rumped Storm Petrel (Grant's),Band-rumped Storm-Petrel (Grant's)
barstp5,Band-rumped Storm Petrel (Darwin's),Band-rumped Storm-Petrel (Darwin's)
monstp1,Monteiro's Storm Petrel,Monteiro's Storm-Petrel
cavstp1,Cape Verde Storm Petrel,Cape Verde Storm-Petrel
oceano2,Hydrobates sp. (Band-rumped complex),Hydrobates sp. (Band-rumped complex)
wrspet,Wedge-rumped Storm Petrel,Wedge-rumped Storm-Petrel
bkspet,Black Storm Petrel,Black Storm-Petrel
guspet,Guadalupe Storm Petrel,Guadalupe Storm-Petrel
maspet,Markham's Storm Petrel,Markham's Storm-Petrel
y00715,Black/Markham's Storm Petrel,Black/Markham's Storm-Petrel
maspet2,日本叉尾海燕,Matsudaira's Storm-Petrel
y01337,黑叉尾海燕/日本叉尾海燕,Swinhoe's/Matsudaira's Storm-Petrel
trspet,褐翅叉尾海燕,Tristram's Storm-Petrel
lsspet,Least Storm Petrel,Least Storm-Petrel
oceano1,未识别的Hydrobates属海燕,Hydrobates sp.
stormp1,未识别的黑腰海燕,storm-petrel sp. (dark-rumped)
stormp2,未识别的白腰海燕,storm-petrel sp. (white-rumped)
stopet,未识别的海燕类,storm-petrel sp.
angpet1,Southern Giant Petrel,Southern Giant-Petrel
norgip1,Northern Giant Petrel,Northern Giant-Petrel
y00228,Southern/Northern Giant Petrel,Southern/Northern Giant-Petrel
norful,暴雪鹱,Northern Fulmar
norful4,暴雪鹱 (大西洋),Northern Fulmar (Atlantic)
norful3,暴雪鹱 (太平洋),Northern Fulmar (Pacific)
souful1,Southern Fulmar,Southern Fulmar
antpet1,Antarctic Petrel,Antarctic Petrel
cappet,Pintado Petrel,Pintado Petrel
cappet1,Pintado Petrel (Antarctic),Pintado Petrel (Antarctic)
cappet2,Pintado Petrel (Snares),Pintado Petrel (Snares)
snopet1,Snow Petrel,Snow Petrel
kerpet2,Kerguelen Petrel,Kerguelen Petrel
lshpet1,St. Helena Petrel,Large St. Helena Petrel
grwpet3,Great-winged Petrel,Great-winged Petrel
grwpet2,Grey-faced Petrel,Gray-faced Petrel
grwpet1,Great-winged/Grey-faced Petrel,Great-winged/Gray-faced Petrel
kerpet,克岛圆尾鹱,Kermadec Petrel
magpet1,Magenta Petrel,Magenta Petrel
tripet1,Trindade Petrel,Trindade Petrel
herpet2,信使圆尾鹱,Herald Petrel
herpet,Trindade/Herald Petrel,Trindade/Herald Petrel
murpet,Murphy's Petrel,Murphy's Petrel
solpet1,棕头圆尾鹱,Providence Petrel
henpet1,Henderson Petrel,Henderson Petrel
madpet,Zino's Petrel,Zino's Petrel
feapet3,Fea's Petrel,Cape Verde Petrel
feapet2,Desertas Petrel,Desertas Petrel
feapet1,Fea's/Desertas Petrel,Cape Verde/Desertas Petrel
y00609,Zino's/Fea's/Desertas Petrel,Zino's/Cape Verde/Desertas Petrel
soppet1,Soft-plumaged Petrel,Soft-plumaged Petrel
barpet1,Barau's Petrel,Barau's Petrel
whhpet1,White-headed Petrel,White-headed Petrel
motpet,Mottled Petrel,Mottled Petrel
berpet,Bermuda Petrel,Bermuda Petrel
bkcpet,Black-capped Petrel,Black-capped Petrel
bkcpet4,Black-capped Petrel (White-faced),Black-capped Petrel (White-faced)
bkcpet3,Black-capped Petrel (Dark-faced),Black-capped Petrel (Dark-faced)
y00713,Bermuda/Black-capped Petrel,Bermuda/Black-capped Petrel
bkcpet2,Jamaican Petrel,Jamaican Petrel
jufpet,白颈圆尾鹱,Juan Fernandez Petrel
atlpet1,Atlantic Petrel,Atlantic Petrel
galpet,Galapagos Petrel,Galapagos Petrel
hawpet1,Hawaiian Petrel,Hawaiian Petrel
y00472,Galapagos/Hawaiian Petrel (Dark-rumped Petrel),Galapagos/Hawaiian Petrel (Dark-rumped Petrel)
whnpet,White-necked Petrel,White-necked Petrel
y01135,Juan Fernandez/White-necked Petrel,Juan Fernandez/White-necked Petrel
bonpet,白额圆尾鹱,Bonin Petrel
bkwpet,Black-winged Petrel,Black-winged Petrel
chapet1,Chatham Islands Petrel,Chatham Islands Petrel
coopet,Cook's Petrel,Cook's Petrel
maspet3,Masatierra Petrel,Masatierra Petrel
goupet1,Gould's Petrel,Gould's Petrel
goupet2,Gould's Petrel (Gould's),Gould's Petrel (Gould's)
goupet3,Gould's Petrel (New Caledonian),Gould's Petrel (New Caledonian)
colpet1,Collared Petrel,Collared Petrel
goupet4,Collared Petrel (Collared),Collared Petrel (Collared)
goupet5,Collared Petrel (Magnificent),Collared Petrel (Magnificent)
stepet,Stejneger's Petrel,Stejneger's Petrel
pycpet1,Pycroft's Petrel,Pycroft's Petrel
coopet1,Cookilaria petrel sp.,Cookilaria petrel sp.
phopet1,Phoenix Petrel,Phoenix Petrel
venpet1,Vanuatu Petrel,Vanuatu Petrel
pterod,Pterodroma sp.,Pterodroma sp.
blupet1,Blue Petrel,Blue Petrel
faipri1,Fairy Prion,Fairy Prion
brbpri1,Broad-billed Prion,Broad-billed Prion
salpri2,Salvin's Prion,Salvin's Prion
salpri3,MacGillivray's Prion,MacGillivray's Prion
salpri1,Salvin's/MacGillivray's Prion,Salvin's/MacGillivray's Prion
y01297,Broad-billed/MacGillivray's Prion,Broad-billed/MacGillivray's Prion
y01298,Broad-billed/Salvin's/MacGillivray's Prion,Broad-billed/Salvin's/MacGillivray's Prion
dovpri1,Antarctic Prion,Antarctic Prion
slbpri1,Slender-billed Prion,Slender-billed Prion
fulpri1,Fulmar Prion,Fulmar Prion
prion1,prion sp.,prion sp.
y01299,Blue Petrel/prion sp.,Blue Petrel/prion sp.
bulpet,褐燕鹱,Bulwer's Petrel
joupet,Jouanin's Petrel,Jouanin's Petrel
sshpet1,Olson's Petrel,Small St. Helena Petrel
bulwer1,Bulweria sp.,Bulweria sp.
fijpet1,Fiji Petrel,Fiji Petrel
maspet1,Mascarene Petrel,Mascarene Petrel
tahpet1,钩嘴圆尾鹱,Tahiti Petrel
becpet1,Beck's Petrel,Beck's Petrel
lavpet1,Lava Petrel (undescribed form),Lava Petrel (undescribed form)
pseudo2,Pseudobulweria sp.,Pseudobulweria sp.
y01224,Bulweria/Pseudobulweria sp.,Bulweria/Pseudobulweria sp.
grapet,Grey Petrel,Gray Petrel
whcpet1,White-chinned Petrel,White-chinned Petrel
spepet1,Spectacled Petrel,Spectacled Petrel
parpet1,Black Petrel,Parkinson's Petrel
wespet1,Westland Petrel,Westland Petrel
procel1,Procellaria sp.,Procellaria sp.
strshe,白额鹱,Streaked Shearwater
corshe1,Cory's Shearwater,Cory's Shearwater
scoshe1,Scopoli's Shearwater,Scopoli's Shearwater
corshe,Cory's/Scopoli's Shearwater,Cory's/Scopoli's Shearwater
cavshe1,Cape Verde Shearwater,Cape Verde Shearwater
y00676,Cory's/Scopoli's/Cape Verde Shearwater,Cory's/Scopoli's/Cape Verde Shearwater
pifshe,Pink-footed Shearwater,Pink-footed Shearwater
flfshe,淡足鹱,Flesh-footed Shearwater
greshe,Great Shearwater,Great Shearwater
y00606,Cory's/Scopoli's/Great Shearwater,Cory's/Scopoli's/Great Shearwater
wetshe,楔尾鹱,Wedge-tailed Shearwater
bulshe,Buller's Shearwater,Buller's Shearwater
sooshe,灰鹱,Sooty Shearwater
shtshe,短尾鹱,Short-tailed Shearwater
y00020,灰鹱/短尾鹱,Sooty/Short-tailed Shearwater
chrshe,黑鹱,Christmas Shearwater
audshe3,Galapagos Shearwater,Galapagos Shearwater
galshe1,Galapagos Shearwater (Dark-winged),Galapagos Shearwater (Dark-winged)
galshe2,Galapagos Shearwater (Light-winged),Galapagos Shearwater (Light-winged)
manshe,Manx Shearwater,Manx Shearwater
levshe1,Yelkouan Shearwater,Yelkouan Shearwater
balshe1,Balearic Shearwater,Balearic Shearwater
medshe1,Yelkouan/Balearic Shearwater,Yelkouan/Balearic Shearwater
hutshe1,Hutton's Shearwater,Hutton's Shearwater
troshe4,班氏鹱,Bannerman's Shearwater
towshe1,Townsend's Shearwater,Townsend's Shearwater
towshe2,Newell's Shearwater,Newell's Shearwater
towshe,Townsend's/Newell's Shearwater,Townsend's/Newell's Shearwater
towshe3,Rapa Shearwater,Rapa Shearwater
y00931,Newell's/Rapa Shearwater,Newell's/Rapa Shearwater
bryshe1,Bryan's Shearwater,Bryan's Shearwater
bkvshe,Black-vented Shearwater,Black-vented Shearwater
flushe1,Fluttering Shearwater,Fluttering Shearwater
y00832,Hutton's/Fluttering Shearwater,Hutton's/Fluttering Shearwater
litshe8,Little Shearwater,Little Shearwater
litshe3,Little Shearwater (Tasman),Little Shearwater (Tasman)
litshe6,Little Shearwater (Hauraki),Little Shearwater (Hauraki)
litshe5,Little Shearwater (Kermadec),Little Shearwater (Kermadec)
litshe7,Little Shearwater (West Australian),Little Shearwater (West Australian)
litshe4,Subantarctic Shearwater,Subantarctic Shearwater
litshe,Little/Subantarctic Shearwater,Little/Subantarctic Shearwater
litshe1,Barolo Shearwater,Barolo Shearwater
litshe2,Boyd's Shearwater,Boyd's Shearwater
y00714,Barolo/Boyd's Shearwater (Macaronesian Shearwater),Barolo/Boyd's Shearwater (Macaronesian Shearwater)
audshe,Sargasso Shearwater,Sargasso Shearwater
troshe5,热带鹱,Tropical Shearwater
troshe2,热带鹱 (bailloni),Tropical Shearwater (Mascarene)
troshe3,热带鹱 [dichrous Group],Tropical Shearwater (Indopacific)
troshe1,班氏鹱/热带鹱,Bannerman's/Tropical Shearwater
pershe1,Persian Shearwater,Persian Shearwater
heishe1,所罗门鹱,Heinroth's Shearwater
bawshe1,small shearwater sp.,small shearwater sp.
shearw,shearwater sp.,shearwater sp.
pedpet1,Peruvian Diving Petrel,Peruvian Diving-Petrel
codpet1,Common Diving Petrel,Common Diving-Petrel
sgdpet1,South Georgia Diving Petrel,South Georgia Diving-Petrel
y01363,Common/South Georgia Diving Petrel,Common/South Georgia Diving-Petrel
madpet1,Magellanic Diving Petrel,Magellanic Diving-Petrel
diving1,diving petrel sp.,diving-petrel sp.
procel2,未识别的鹱类,procellariid sp.
asiope1,钳嘴鹳,Asian Openbill
afrope1,African Openbill,African Openbill
blasto1,黑鹳,Black Stork
abdsto1,Abdim's Stork,Abdim's Stork
wonsto2,African Woolly-necked Stork,African Woolly-necked Stork
wonsto1,白颈鹳,Asian Woolly-necked Stork
stosto1,Storm's Stork,Storm's Stork
magsto1,Maguari Stork,Maguari Stork
whisto1,白鹳,White Stork
x01098,黑鹳x白鹳 (杂交),Black x White Stork (hybrid)
oristo1,东方白鹳,Oriental Stork
ciconi1,未识别的Ciconia属鹳,Ciconia sp.
blnsto1,黑颈鹳,Black-necked Stork
sabsto1,Saddle-billed Stork,Saddle-billed Stork
jabiru,Jabiru,Jabiru
lesadj1,秃鹳,Lesser Adjutant
marsto1,Marabou Stork,Marabou Stork
greadj1,Greater Adjutant,Greater Adjutant
y00716,Lesser/Greater Adjutant,Lesser/Greater Adjutant
woosto,Wood Stork,Wood Stork
milsto1,Milky Stork,Milky Stork
yebsto1,Yellow-billed Stork,Yellow-billed Stork
paisto1,彩鹳,Painted Stork
x00729,Milky x Painted Stork (hybrid),Milky x Painted Stork (hybrid)
y01136,Milky/Painted Stork,Milky/Painted Stork
stork1,未识别的鹳类,stork sp.
asifri1,Ascension Frigatebird,Ascension Frigatebird
magfri,Magnificent Frigatebird,Magnificent Frigatebird
magfri1,Magnificent Frigatebird (Magnificent),Magnificent Frigatebird (Magnificent)
magfri2,Magnificent Frigatebird (Galapagos),Magnificent Frigatebird (Galapagos)
lesfri,白斑军舰鸟,Lesser Frigatebird
lesfri1,白斑军舰鸟 (印度洋至太平洋),Lesser Frigatebird (Lesser)
lesfri2,白斑军舰鸟 (大西洋),Lesser Frigatebird (Trindade)
grefri,黑腹军舰鸟,Great Frigatebird
chifri1,白腹军舰鸟,Christmas Island Frigatebird
frigat,未识别的军舰鸟,frigatebird sp.
abbboo2,Abbott's Booby,Abbott's Booby
norgan,Northern Gannet,Northern Gannet
capgan1,Cape Gannet,Cape Gannet
ausgan1,Australasian Gannet,Australasian Gannet
x01234,Cape x Australasian Gannet (hybrid),Cape x Australasian Gannet (hybrid)
y01383,Cape/Australasian Gannet,Cape/Australasian Gannet
refboo,红脚鲣鸟,Red-footed Booby
refboo1,红脚鲣鸟 (大西洋),Red-footed Booby (Atlantic)
refboo2,红脚鲣鸟 (印度洋至中太平洋),Red-footed Booby (Indopacific)
refboo3,红脚鲣鸟 (东太平洋),Red-footed Booby (Eastern Pacific)
brnboo,褐鲣鸟,Brown Booby
brnboo2,褐鲣鸟 (大西洋),Brown Booby (Atlantic)
brnboo3,褐鲣鸟 (印度洋至太平洋中部),Brown Booby (Forster's)
cocboo1,Cocos Booby,Cocos Booby
brnboo1,Cocos Booby (Brewster's),Cocos Booby (Brewster's)
brnboo4,Cocos Booby (Colombian),Cocos Booby (Colombian)
y01312,Brown/Cocos Booby,Brown/Cocos Booby
masboo,蓝脸鲣鸟,Masked Booby
x00782,褐鲣鸟x蓝脸鲣鸟 (杂交),Brown x Masked Booby (hybrid)
nazboo1,橙嘴鲣鸟,Nazca Booby
x01064,蓝脸鲣鸟x橙嘴鲣鸟 (杂交),Masked x Nazca Booby (hybrid)
y00474,蓝脸鲣鸟/橙嘴鲣鸟,Masked/Nazca Booby
bfoboo,Blue-footed Booby,Blue-footed Booby
x00950,Cocos x Blue-footed Booby (hybrid),Cocos x Blue-footed Booby (hybrid)
perboo1,Peruvian Booby,Peruvian Booby
x01065,Blue-footed x Peruvian Booby (hybrid),Blue-footed x Peruvian Booby (hybrid)
booby1,未识别的鲣鸟,booby sp.
sulid,sulid sp.,sulid sp.
anhing,Anhinga,Anhinga
darter3,African Darter,African Darter
darter2,黑腹蛇鹈,Oriental Darter
darter4,Australasian Darter,Australasian Darter
lipcor1,Little Pied Cormorant,Little Pied Cormorant
lotcor1,Reed Cormorant,Reed Cormorant
crocor1,Crowned Cormorant,Crowned Cormorant
y01300,Reed/Crowned Cormorant,Reed/Crowned Cormorant
litcor1,黑颈鸬鹚,Little Cormorant
pygcor2,侏鸬鹚,Pygmy Cormorant
relcor1,Red-legged Cormorant,Red-legged Cormorant
bracor,Brandt's Cormorant,Brandt's Cormorant
refcor,红脸鸬鹚,Red-faced Cormorant
pelcor,海鸬鹚,Pelagic Cormorant
palcor1,Spectacled Cormorant,Pallas's Cormorant
bancor1,Bank Cormorant,Bank Cormorant
capcor1,Cape Cormorant,Cape Cormorant
grecor,普通鸬鹚,Great Cormorant
grecor6,普通鸬鹚 (carbo/sinensis),Great Cormorant (Dark-breasted)
grecor1,普通鸬鹚 (carbo),Great Cormorant (North Atlantic)
grecor2,普通鸬鹚 (novaehollandiae),Great Cormorant (Australasian)
grecor3,普通鸬鹚 (欧亚),Great Cormorant (Eurasian)
grecor5,普通鸬鹚 (maroccanus),Great Cormorant (Moroccan)
grecor4,普通鸬鹚 (lucidus),Great Cormorant (White-breasted)
japcor1,暗绿背鸬鹚,Japanese Cormorant
y01020,普通鸬鹚/暗绿背鸬鹚,Great/Japanese Cormorant
soccor1,Socotra Cormorant,Socotra Cormorant
sposha1,Spotted Shag,Spotted Shag
piisha1,Pitt Shag,Pitt Island Shag
indcor1,印度鸬鹚,Indian Cormorant
y00770,黑颈鸬鹚/印度鸬鹚,Little/Indian Cormorant
libcor1,Little Black Cormorant,Little Black Cormorant
piecor1,Australian Pied Cormorant,Pied Cormorant
blfcor1,Black-faced Cormorant,Black-faced Cormorant
eursha1,European Shag,European Shag
eursha2,European Shag (Atlantic),European Shag (Atlantic)
eursha3,European Shag (Mediterranean),European Shag (Mediterranean)
eursha4,European Shag (Moroccan),European Shag (Moroccan)
y00769,Great Cormorant/European Shag,Great Cormorant/European Shag
flicor1,Flightless Cormorant,Flightless Cormorant
doccor,Double-crested Cormorant,Double-crested Cormorant
y00694,Great/Double-crested Cormorant,Great/Double-crested Cormorant
neocor,Neotropic Cormorant,Neotropic Cormorant
x00783,Double-crested x Neotropic Cormorant (hybrid),Double-crested x Neotropic Cormorant (hybrid)
y00833,Double-crested/Neotropic Cormorant,Double-crested/Neotropic Cormorant
magcor1,Rock Shag,Magellanic Cormorant
guacor1,Guanay Cormorant,Guanay Cormorant
boisha1,Bounty Shag,Bounty Islands Shag
rofsha1,New Zealand King Shag,New Zealand King Shag
brosha1,Otago/Foveaux Shag,Stewart Island Shag
stisha1,Otago Shag,Stewart Island Shag (Otago)
stisha2,Foveaux Shag,Stewart Island Shag (Foveaux)
chisha1,Chatham Shag,Chatham Islands Shag
auisha1,Auckland Shag,Auckland Islands Shag
caisha2,Campbell Shag,Campbell Islands Shag
impcor6,imperial cormorant sp.,Imperial Cormorant
sogsha1,South Georgia Shag,Imperial Cormorant (South Georgia)
impcor1,Imperial Shag,Imperial Cormorant (Imperial)
impcor2,Imperial Shag (Blue-eyed),Imperial Cormorant (Blue-eyed)
impcor3,Imperial Shag (King),Imperial Cormorant (King)
antsha1,Antarctic Shag,Imperial Cormorant (Antarctic)
crosha1,Crozet Shag,Imperial Cormorant (Crozet)
kersha1,Kerguelen Shag,Imperial Cormorant (Kerguelen)
heisha1,Heard Island Shag,Imperial Cormorant (Heard Island)
macsha1,Macquarie Shag,Imperial Cormorant (Macquarie)
x01186,Guanay x Imperial Shag (hybrid),Guanay x Imperial Cormorant (hybrid)
y01349,Guanay/Imperial Shag,Guanay/Imperial Cormorant
cormor1,未识别的鸬鹚,cormorant sp.
whiibi,American White Ibis,White Ibis
scaibi,美洲红鹮,Scarlet Ibis
x00428,White x Scarlet Ibis (hybrid),White x Scarlet Ibis (hybrid)
gloibi,彩鹮,Glossy Ibis
whfibi,白脸彩鹮,White-faced Ibis
gxwibi1,彩鹮x白脸彩鹮 (杂交),Glossy x White-faced Ibis (hybrid)
plegad,彩鹮/白脸彩鹮,Glossy/White-faced Ibis
punibi1,Puna Ibis,Puna Ibis
y00836,White-faced/Puna Ibis,White-faced/Puna Ibis
madibi1,Madagascar Ibis,Madagascar Ibis
shtibi1,Sharp-tailed Ibis,Sharp-tailed Ibis
greibi1,Green Ibis,Green Ibis
bafibi1,Bare-faced Ibis,Bare-faced Ibis
y01263,White-faced/Bare-faced Ibis,White-faced/Bare-faced Ibis
pluibi1,Plumbeous Ibis,Plumbeous Ibis
bunibi1,Buff-necked Ibis,Buff-necked Ibis
bkfibi1,Black-faced Ibis,Black-faced Ibis
bkfibi2,Andean Ibis,Andean Ibis
blfibi1,Black-faced/Andean Ibis,Black-faced/Andean Ibis
theris1,Theristicus sp.,Theristicus sp.
sacibi2,埃及圣鹮,African Sacred Ibis
sacibi3,马岛圣鹮,Malagasy Sacred Ibis
sacibi1,埃及圣鹮/马岛圣鹮,African/Malagasy Sacred Ibis
reusol1,Reunion Ibis,Reunion Ibis
blhibi1,黑头白鹮,Black-headed Ibis
ausibi1,Australian White Ibis,Australian Ibis
stnibi1,Straw-necked Ibis,Straw-necked Ibis
x01157,Australian White x Straw-necked Ibis (hybrid),Australian x Straw-necked Ibis (hybrid)
renibi1,Red-naped Ibis,Red-naped Ibis
whsibi1,白肩黑鹮,White-shouldered Ibis
giaibi1,Giant Ibis,Giant Ibis
waldra1,Northern Bald Ibis,Northern Bald Ibis
balibi1,Southern Bald Ibis,Southern Bald Ibis
creibi1,朱鹮,Crested Ibis
oliibi2,Olive Ibis,Olive Ibis
oliibi3,Sao Tome Ibis,Sao Tome Ibis
spbibi1,Spot-breasted Ibis,Spot-breasted Ibis
hadibi1,Hadada Ibis,Hadada Ibis
hadibi2,Hadada Ibis (Western),Hadada Ibis (Western)
hadibi6,Hadada Ibis (Eastern),Hadada Ibis (Eastern)
hadibi4,Hadada Ibis (Southern),Hadada Ibis (Southern)
watibi1,Wattled Ibis,Wattled Ibis
ibis1,未识别的鹮,ibis sp.
eurspo1,白琵鹭,Eurasian Spoonbill
royspo1,Royal Spoonbill,Royal Spoonbill
afrspo1,African Spoonbill,African Spoonbill
blfspo1,黑脸琵鹭,Black-faced Spoonbill
x00883,白琵鹭x黑脸琵鹭 (杂交),Eurasian x Black-faced Spoonbill (hybrid)
yebspo1,Yellow-billed Spoonbill,Yellow-billed Spoonbill
rosspo1,Roseate Spoonbill,Roseate Spoonbill
spoonb1,未识别的琵鹭,spoonbill sp.
whcbit1,White-crested Tiger Heron,White-crested Tiger-Heron
ruther1,Rufescent Tiger Heron,Rufescent Tiger-Heron
btther1,Bare-throated Tiger Heron,Bare-throated Tiger-Heron
father1,Fasciated Tiger Heron,Fasciated Tiger-Heron
tigerh1,tiger heron sp.,tiger-heron sp.
bobher1,Boat-billed Heron,Boat-billed Heron
bobher3,Boat-billed Heron (Northern),Boat-billed Heron (Northern)
bobher4,Boat-billed Heron (Southern),Boat-billed Heron (Southern)
agaher1,Agami Heron,Agami Heron
zigher1,Zigzag Heron,Zigzag Heron
grebit1,大麻鳽,Eurasian Bittern
ausbit1,Australasian Bittern,Australasian Bittern
amebit,American Bittern,American Bittern
pinbit1,Pinnated Bittern,Pinnated Bittern
stbbit1,Stripe-backed Bittern,Stripe-backed Bittern
leabit,Least Bittern,Least Bittern
leabit7,Least Bittern (Northern),Least Bittern (Northern)
leabit8,Least Bittern (Southern),Least Bittern (Southern)
blabit1,黑鳽,Black Bittern
cinbit1,栗苇鳽,Cinnamon Bittern
schbit1,紫背苇鳽,Schrenck's Bittern
y01116,栗苇鳽/紫背苇鳽,Cinnamon/Schrenck's Bittern
dwabit1,Dwarf Bittern,Dwarf Bittern
litbit1,小苇鳽,Little Bittern
litbit2,小苇鳽 (欧亚),Little Bittern (Little)
litbit3,小苇鳽 (payesii),Little Bittern (African)
litbit4,小苇鳽 (podiceps),Little Bittern (Madagascar)
yelbit,黄苇鳽,Yellow Bittern
y00389,栗苇鳽/黄苇鳽,Cinnamon/Yellow Bittern
bkbbit1,Black-backed Bittern,Black-backed Bittern
nezbit1,New Zealand Bittern,New Zealand Bittern
smabit1,未识别的Botaurus属小型鳽类,small bittern sp.
ycnher,Yellow-crowned Night Heron,Yellow-crowned Night Heron
yecnih1,Yellow-crowned Night Heron (Yellow-crowned),Yellow-crowned Night Heron (Yellow-crowned)
yecnih2,Yellow-crowned Night Heron (Galapagos),Yellow-crowned Night Heron (Galapagos)
bernih1,Bermuda Night Heron,Bermuda Night Heron
bcnher,夜鹭,Black-crowned Night Heron
bkcnih1,夜鹭 (欧亚),Black-crowned Night Heron (Eurasian)
bkcnih2,夜鹭 (美洲),Black-crowned Night Heron (American)
bkcnih4,夜鹭 (暗色),Black-crowned Night Heron (Dusky)
bkcnih3,夜鹭 (福克兰),Black-crowned Night Heron (Falklands)
x00704,Yellow-crowned x Black-crowned Night Heron (hybrid),Yellow-crowned x Black-crowned Night Heron (hybrid)
y00610,Yellow-crowned/Black-crowned Night Heron,Yellow-crowned/Black-crowned Night Heron
reunih1,Reunion Night Heron,Reunion Night Heron
maunih1,Mauritius Night Heron,Mauritius Night Heron
rodnih1,Rodrigues Night Heron,Rodrigues Night Heron
runher1,棕夜鹭,Nankeen Night Heron
x01041,夜鹭x棕夜鹭 (杂交),Black-crowned x Nankeen Night Heron (hybrid)
y00940,夜鹭/棕夜鹭,Black-crowned/Nankeen Night Heron
asnher1,Ascension Night Heron,Ascension Night Heron
manher1,黑冠鳽,Malayan Night Heron
janher1,栗鳽,Japanese Night Heron
y00941,栗鳽/黑冠鳽,Malayan/Japanese Night Heron
capher1,Capped Heron,Capped Heron
whiher1,Whistling Heron,Whistling Heron
libher,Little Blue Heron,Little Blue Heron
triher,Tricolored Heron,Tricolored Heron
x00696,Little Blue x Tricolored Heron (hybrid),Little Blue x Tricolored Heron (hybrid)
redegr,Reddish Egret,Reddish Egret
x00785,Tricolored Heron x Reddish Egret (hybrid),Tricolored Heron x Reddish Egret (hybrid)
slaegr1,Slaty Egret,Slaty Egret
blaher1,Black Heron,Black Heron
y01358,Slaty Egret/Black Heron,Slaty Egret/Black Heron
pacreh1,岩鹭,Pacific Reef-Heron
chiegr,黄嘴白鹭,Chinese Egret
snoegr,Snowy Egret,Snowy Egret
x00615,Little Blue Heron x Snowy Egret (hybrid),Little Blue Heron x Snowy Egret (hybrid)
x00730,Tricolored Heron x Snowy Egret (hybrid),Tricolored Heron x Snowy Egret (hybrid)
litegr,白鹭,Little Egret
litegr1,白鹭 (广布),Little Egret (Western)
litegr3,白鹭 (immaculata),Little Egret (Australasian)
litegr2,白鹭 (dimorpha),Little Egret (Dimorphic)
